character,type,dice,skill
赫律司,教育,43,90
赫律司,幸运,66,65
钭天问,幸运,19,45
赫律司,侦查,45,70
赫律司,闪避,91,72
钭天问,斗殴,84,65
李觅松,斗殴,8,25
赫律司,斗殴,54,70
赫律司,医学,62,61
钭天问,灵感,12,50
赫律司,说服,73,60
李觅松,幸运,96,70
李觅松,sc,49,60
李觅松,说服,64,10
赫律司,侦查,69,70
赫律司,聆听,32,60
李觅松,体质,47,55
赫律司,体质,47,85
钭天问,体质,64,50
赫律司,幸运,40,65
李觅松,幸运,45,70
钭天问,幸运,98,45
钭天问,体质,100,50
赫律司,急救,94,70
赫律司,急救,37,70
赫律司,灵感,84,70
李觅松,灵感,21,40
李觅松,幸运,29,70
赫律司,幸运,76,65
李觅松,sc,2,60
赫律司,聆听,10,60
赫律司,聆听,3,60
赫律司,侦查,91,70
李觅松,侦查,98,50
赫律司,医学,62,61
李觅松,体质,74,55
赫律司,体质,89,85
赫律司,幸运,75,60
李觅松,幸运,59,70
李觅松,侦查,28,50
赫律司,侦查,99,70
李觅松,侦查,84,50
赫律司,侦查,30,70
李觅松,侦查,63,50
赫律司,侦查,35,70
赫律司,sc,24,80
赫律司,体质,49,85
李觅松,幸运,74,70
赫律司,幸运,79,60
赫律司,幸运,61,60
李觅松,侦查,100,50
李觅松,sc,96,60
赫律司,侦查,47,70
李觅松,sc,19,60
李觅松,侦查,91,50
赫律司,侦查,24,70
赫律司,侦查,78,70
李觅松,侦查,78,50
徐少卿,sc,92,
徐少卿,聆听,63,20
万俟韶,侦查,83,35
杨雪梨,侦查,57,50
杨雪梨,话术,27,65
杨雪梨,教育,32,50
万俟韶,医学,2,71
杨雪梨,侦查,89,50
万俟韶,侦查,96,35
杨雪梨,话术,60,65
杨雪梨,侦查,12,50
万俟韶,古汉语,39,41
杨雪梨,古汉语,89,46
万俟韶,古汉语,91,41
杨雪梨,古汉语,63,46
万俟韶,古汉语,87,41
徐少卿,古汉语,100,51
万俟韶,医学,72,71
万俟韶,药学,96,41
徐少卿,幸运,45,50
徐少卿,幸运,11,50
杨雪梨,幸运,78,53
杨雪梨,幸运,23,53
万俟韶,幸运,47,80
万俟韶,幸运,6,80
万俟韶,体质,69,60
万俟韶,幸运,26,79
杨雪梨,妙手,4,10
徐少卿,侦查,94,55
杨雪梨,侦查,8,50
杨雪梨,幸运,85,53
杨雪梨,话术,90,65
万俟韶,魅惑,4,75
徐少卿,意志,82,65
杨雪梨,意志,73,55
万俟韶,意志,93,50
徐少卿,意志,77,65
杨雪梨,聆听,17,20
徐少卿,聆听,23,20
万俟韶,聆听,27,35
徐少卿,潜行,98,20
万俟韶,sc,78,50
赫律司,体质,77,85
徐少卿,体质,93,40
万俟韶,体质,49,60
杨雪梨,体质,38,40
李觅松,sc,11,59
李觅松,侦查,70,50
赫律司,侦查,52,70
徐少卿,幸运,34,50
杨雪梨,地质学,20,45
杨雪梨,sc,77,55
万俟韶,sc,29,47
杨雪梨,侦查,91,50
杨雪梨,侦查,54,50
万俟韶,侦查,89,35
徐少卿,sc,97,65
李觅松,sc,28,59
赫律司,sc,43,79
李觅松,侦查,7,50
李觅松,侦查,75,50
赫律司,侦查,6,70
李觅松,sc,43,58
徐少卿,机械维修,13,55
杨雪梨,侦查,96,50
徐少卿,侦查,78,55
万俟韶,侦查,18,35
钭天问,幸运,42,45
